จำนวนสั่งผลิต (ชุด),รหัสโรงงาน (Model),จำนวนชิ้น,รหัสโรงงานเต็ม,รหัสแพ็กเกจ,รหัส FlowAccount เต็ม,รหัสสินค้า SmartGift,ต้นทุนโรงงาน (USD),ต้นทุนโรงงาน (บาท),ค่าเรือจีน-ไทย (บาท/ชิ้น),สกรีนโลโก้ 1 จุด (บาท),ค่ารถส่งในไทย (บาท/ชิ้น),ต้นทุนรวมส่งมอบ (Landed Cost),ราคาขายทั่วไป (บาท/ชิ้น),กำไรทั่วไป (บาท/ชิ้น),กำไรทั่วไปรวม (บาท),Margin ทั่วไป (%),ราคาขายองค์กร (บาท/ชิ้น),กำไรองค์กร (บาท/ชิ้น),กำไรองค์กรรวม (บาท),Margin องค์กร (%),องค์กรประหยัด/ชิ้น (บาท),องค์กรประหยัดรวม (บาท)
50 ชิ้น,BW00,-0,BW00-0,(P-BAG),BW00-0(P-BAG),PM-TMB,2.31,78.46,7.02,10.0,50.0,145.48,250.0,104.52,5225.92,41.8%,210.0,64.52,3226.0,30.7%,40.0,2000.0
100 ชิ้น,BW00,-0,BW00-0,(P-BAG),BW00-0(P-BAG),PM-TMB,2.31,78.46,7.02,10.0,25.0,120.48,230.0,109.52,10951.85,47.6%,169.0,48.52,4851.85,28.7%,61.0,6100.0
300 ชิ้น,BW00,-0,BW00-0,(P-BAG),BW00-0(P-BAG),PM-TMB,2.31,78.46,7.02,10.0,8.33,103.81,215.0,111.19,33355.54,51.7%,149.0,45.19,13555.54,30.3%,66.0,19800.0
500 ชิ้น,BW00,-0,BW00-0,(P-BAG),BW00-0(P-BAG),PM-TMB,2.31,78.46,7.02,10.0,5.0,100.48,200.0,99.52,49759.23,49.8%,139.0,38.52,19259.23,27.7%,61.0,30500.0
1000 ชิ้น,BW00,-0,BW00-0,(P-BAG),BW00-0(P-BAG),PM-TMB,2.31,78.46,7.02,10.0,2.5,97.98,185.0,87.02,87018.46,47.0%,129.0,31.02,31018.46,24.0%,56.0,56000.0
