จำนวนสั่งผลิต (ชุด),รหัสโรงงาน (Model),จำนวนชิ้นในชุด,รหัสโรงงานเต็ม,รหัสแพ็กเกจกล่อง,รหัส FlowAccount เต็ม,รหัสสินค้า SmartGift,ต้นทุนโรงงาน (USD),ต้นทุนโรงงาน (บาท),ค่าเรือจีน-ไทย (บาท/ชุด),ค่ารถส่งในไทย (บาท/ชุด),ต้นทุนรวมส่งมอบ (Landed Cost/ชุด),ราคาขายทั่วไป (บาท/ชุด),กำไรทั่วไป (บาท/ชุด),กำไรทั่วไปรวม (บาท),Margin ทั่วไป (%),ราคาขายองค์กร (บาท/ชุด),กำไรองค์กร (บาท/ชุด),กำไรองค์กรรวม (บาท),Margin องค์กร (%),ลูกค้าองค์กรประหยัด/ชุด (บาท),ลูกค้าองค์กรประหยัดรวม (บาท)
100,TMS06,-4,TMS06-4,(P-16),TMS06-4(P-16),SG-TMS06-4(P-16),16.2769,585.97,51.45,25.0,662.42,1300.0,637.58,63758.0,49.0%,880.0,217.58,21758.0,24.7%,420.0,42000.0
300,TMS06,-4,TMS06-4,(P-16),TMS06-4(P-16),SG-TMS06-4(P-16),15.2861,550.3,51.45,8.33,610.08,1130.0,519.92,155976.0,46.0%,850.0,239.92,71976.0,28.2%,280.0,84000.0
500,TMS06,-4,TMS06-4,(P-16),TMS06-4(P-16),SG-TMS06-4(P-16),14.1538,509.54,51.45,5.0,565.99,1000.0,434.01,217005.0,43.4%,830.0,264.01,132005.0,31.8%,170.0,85000.0
1000,TMS06,-4,TMS06-4,(P-16),TMS06-4(P-16),SG-TMS06-4(P-16),13.5877,489.15,51.45,2.5,543.1,900.0,356.9,356900.0,39.7%,800.0,256.9,256900.0,32.1%,100.0,100000.0
