จำนวนสั่งผลิต (ชุด),รหัสโรงงาน (Model),จำนวนชิ้นในชุด,รหัสโรงงานเต็ม,รหัสแพ็กเกจกล่อง,รหัส FlowAccount เต็ม,รหัสสินค้า SmartGift,ต้นทุนโรงงาน (USD),ต้นทุนโรงงาน (บาท),ค่าเรือจีน-ไทย (บาท/ชุด),ค่ารถส่งในไทย (บาท/ชุด),ต้นทุนรวมส่งมอบ (Landed Cost/ชุด),ราคาขายทั่วไป (บาท/ชุด),กำไรทั่วไป (บาท/ชุด),กำไรทั่วไปรวม (บาท),Margin ทั่วไป (%),ราคาขายองค์กร (บาท/ชุด),กำไรองค์กร (บาท/ชุด),กำไรองค์กรรวม (บาท),Margin องค์กร (%),ลูกค้าองค์กรประหยัด/ชุด (บาท),ลูกค้าองค์กรประหยัดรวม (บาท)
100,TMS06,-3,TMS06-3,(P-06),TMS06-3(P-06),SG-TMS06-3(P-06),11.5,414.0,31.85,25.0,470.85,970.0,499.15,49915.0,51.5%,620.0,149.15,14915.0,24.1%,350.0,35000.0
300,TMS06,-3,TMS06-3,(P-06),TMS06-3(P-06),SG-TMS06-3(P-06),10.8,388.8,31.85,8.33,428.98,840.0,411.02,123306.0,48.9%,590.0,161.02,48306.0,27.3%,250.0,75000.0
500,TMS06,-3,TMS06-3,(P-06),TMS06-3(P-06),SG-TMS06-3(P-06),10.0,360.0,31.85,5.0,396.85,740.0,343.15,171575.0,46.4%,580.0,183.15,91575.0,31.6%,160.0,80000.0
1000,TMS06,-3,TMS06-3,(P-06),TMS06-3(P-06),SG-TMS06-3(P-06),9.6,345.6,31.85,2.5,379.95,670.0,290.05,290050.0,43.3%,560.0,180.05,180050.0,32.2%,110.0,110000.0
